datetime,wind_speed,solar_radiation,temperature,date,day_of_week,time,month,nuclear_power,not_renewable,renewable,energy_price,total_energy_feeding
2020-01-01 00:00:00,2.4,0,-0.1,2020-01-01,Wednesday,00:00:00,1,8088.217500000001,29512.7485,14541.302,38.6,52142.268000000004
2020-01-01 01:00:00,2.4,0,-0.5,2020-01-01,Wednesday,01:00:00,1,8081.1587500000005,29178.66275,14949.455750000001,36.55,52209.27725
2020-01-01 02:00:00,2.5,0,-0.7,2020-01-01,Wednesday,02:00:00,1,8071.4475,29414.36225,15077.925000000001,32.32,52563.73475
2020-01-01 03:00:00,2.4,0,-1.0,2020-01-01,Wednesday,03:00:00,1,8072.2775,29365.12575,15307.22725,30.85,52744.6305
2020-01-01 04:00:00,2.4,0,-1.2,2020-01-01,Wednesday,04:00:00,1,8068.9155,29436.375,15320.258249999999,30.14,52825.54875
2020-01-01 05:00:00,2.5,0,-1.4,2020-01-01,Wednesday,05:00:00,1,8074.9995,29418.80775,15112.39975,30.17,52606.207
2020-01-01 06:00:00,2.5,0,-1.6,2020-01-01,Wednesday,06:00:00,1,8091.802,29716.439000000002,15060.2955,30.0,52868.5365
2020-01-01 07:00:00,2.5,8,-1.7,2020-01-01,Wednesday,07:00:00,1,8095.91625,30404.578,15390.611499999999,30.65,53891.10575
2020-01-01 08:00:00,2.6,72,-1.6,2020-01-01,Wednesday,08:00:00,1,8096.5285,30678.95175,18387.49725,30.65,57162.97749999999
2020-01-01 09:00:00,2.6,137,-0.7,2020-01-01,Wednesday,09:00:00,1,8049.611,30844.95625,22318.31375,30.27,61212.881
2020-01-01 10:00:00,2.6,180,0.4,2020-01-01,Wednesday,10:00:00,1,7815.3009999999995,30606.019,25423.2815,30.34,63844.601500000004
2020-01-01 11:00:00,2.8,198,1.4,2020-01-01,Wednesday,11:00:00,1,7680.73025,30454.482,26976.1885,30.99,65111.40075
2020-01-01 12:00:00,3.0,177,2.3,2020-01-01,Wednesday,12:00:00,1,7916.48725,30351.74475,26425.242,30.04,64693.474
2020-01-01 13:00:00,3.0,120,2.8,2020-01-01,Wednesday,13:00:00,1,8074.772,31423.492,22636.434,30.75,62134.698000000004
2020-01-01 14:00:00,2.9,47,2.7,2020-01-01,Wednesday,14:00:00,1,8088.70725,32107.394,17637.34925,32.11,57833.4505
2020-01-01 15:00:00,2.7,4,1.7,2020-01-01,Wednesday,15:00:00,1,8088.1325,32764.56025,16263.11275,35.98,57115.8055
2020-01-01 16:00:00,2.5,0,0.4,2020-01-01,Wednesday,16:00:00,1,8084.4755000000005,32877.818,18209.4165,40.4,59171.71
2020-01-01 17:00:00,2.6,0,-0.3,2020-01-01,Wednesday,17:00:00,1,8082.02325,32793.326,20120.7125,44.05,60996.06175
2020-01-01 18:00:00,2.6,0,-0.8,2020-01-01,Wednesday,18:00:00,1,8086.8375,32261.42125,21273.9735,43.15,61622.23225
2020-01-01 19:00:00,2.8,0,-1.1,2020-01-01,Wednesday,19:00:00,1,8086.702499999999,32578.43925,21648.54675,43.45,62313.688500000004
2020-01-01 20:00:00,2.7,0,-1.4,2020-01-01,Wednesday,20:00:00,1,8072.01275,32429.7805,21779.992,40.68,62281.78525
2020-01-01 21:00:00,2.7,0,-1.7,2020-01-01,Wednesday,21:00:00,1,8068.92275,32294.412,20507.6725,40.27,60871.00725
2020-01-01 22:00:00,2.6,0,-1.9,2020-01-01,Wednesday,22:00:00,1,8065.4785,31598.436999999998,19939.9495,34.85,59603.865
2020-01-01 23:00:00,2.6,0,-2.1,2020-01-01,Wednesday,23:00:00,1,8077.9715,30949.41025,19936.39825,35.4,58963.78
2020-01-02 00:00:00,2.6,0,-2.2,2020-01-02,Thursday,00:00:00,1,8092.53925,30915.88325,19548.29425,31.98,58556.71675000001
2020-01-02 01:00:00,2.6,0,-2.4,2020-01-02,Thursday,01:00:00,1,8095.649,30714.60575,19511.98,30.5,58322.23475
2020-01-02 02:00:00,2.6,0,-2.6,2020-01-02,Thursday,02:00:00,1,8094.21175,29890.99525,19024.532,28.79,57009.739
2020-01-02 03:00:00,2.8,0,-2.7,2020-01-02,Thursday,03:00:00,1,8095.4815,28825.8295,19007.853,28.42,55929.164
2020-01-02 04:00:00,2.8,0,-2.7,2020-01-02,Thursday,04:00:00,1,8093.21675,29680.411,19538.11775,28.75,57311.7455
2020-01-02 05:00:00,2.8,0,-2.8,2020-01-02,Thursday,05:00:00,1,8018.3835,31428.0755,20676.21525,34.16,60122.674250000004
2020-01-02 06:00:00,2.9,0,-2.8,2020-01-02,Thursday,06:00:00,1,7894.91825,32877.9525,21720.27775,42.07,62493.1485
2020-01-02 07:00:00,2.9,0,-2.7,2020-01-02,Thursday,07:00:00,1,8098.7705000000005,34329.244000000006,22433.7015,44.89,64861.716
2020-01-02 08:00:00,2.9,25,-2.5,2020-01-02,Thursday,08:00:00,1,8086.6625,35021.33175,25939.497,45.26,69047.49124999999
2020-01-02 09:00:00,3.0,84,-1.4,2020-01-02,Thursday,09:00:00,1,8005.65075,35231.1475,29113.05075,45.57,72349.849
2020-01-02 10:00:00,3.1,141,-0.1,2020-01-02,Thursday,10:00:00,1,8007.06275,35061.74725,30639.7895,45.09,73708.5995
2020-01-02 11:00:00,3.3,179,0.9,2020-01-02,Thursday,11:00:00,1,8002.2787499999995,35010.94875,30315.65975,45.16,73328.88725
2020-01-02 12:00:00,3.4,186,1.6,2020-01-02,Thursday,12:00:00,1,8000.459,35106.579249999995,28829.336499999998,44.9,71936.37474999999
2020-01-02 13:00:00,3.5,150,2.0,2020-01-02,Thursday,13:00:00,1,8004.9805,34588.64975,26818.2425,44.06,69411.87275
2020-01-02 14:00:00,3.5,93,1.9,2020-01-02,Thursday,14:00:00,1,8023.56525,34427.118,24646.7235,44.84,67097.40675
2020-01-02 15:00:00,3.5,25,1.3,2020-01-02,Thursday,15:00:00,1,8019.58825,34492.18825,24835.07025,44.4,67346.84675
